time available:[(0.959118127822876, 1471.4285714285713), (1.1915950775146484, 1473.076923076923), (1.5806660652160645, 1475.0), (1.7536120414733887, 1477.2727272727273), (1.93379807472229, 1480.0), (2.1107029914855957, 1483.3333333333333), (2.3054020404815674, 1487.5), (2.4819061756134033, 1492.857142857143), (2.672619104385376, 1500.0), (2.879477024078369, 1510.0), (3.1877779960632324, 1525.0), (3.4001011848449707, 1550.0), (3.597656011581421, 1600.0), (3.806305170059204, 1900.0), (4.002295017242432, 1900.0001)]
time available:[(0.9884071350097656, 1471.4285714285713), (1.243516206741333, 1473.076923076923), (1.64925217628479, 1475.0), (1.8395001888275146, 1477.2727272727273), (2.0012741088867188, 1480.0), (2.185106039047241, 1483.3333333333333), (2.3749330043792725, 1487.5), (2.584120988845825, 1492.857142857143), (2.76531720161438, 1500.0), (2.962491989135742, 1510.0), (3.290034055709839, 1525.0), (3.524205207824707, 1550.0), (3.7625441551208496, 1600.0), (3.9676570892333984, 1900.0), (4.171893119812012, 1900.0001)]
time available:[(0.9683959484100342, 1471.4285714285713), (1.2698898315429688, 1473.076923076923), (1.4425358772277832, 1475.0), (1.6447689533233643, 1477.2727272727273), (1.8330109119415283, 1480.0), (2.0143518447875977, 1483.3333333333333), (2.184680938720703, 1487.5), (2.3554179668426514, 1492.857142857143), (2.5625579357147217, 1500.0), (2.7661240100860596, 1510.0), (3.032437801361084, 1525.0), (3.4408907890319824, 1550.0), (3.6439309120178223, 1600.0), (3.8639578819274902, 1900.0), (4.060645818710327, 1900.0001)]
time available:[(0.9454119205474854, 1471.4285714285713), (1.1574339866638184, 1473.076923076923), (1.5712878704071045, 1475.0), (1.7625408172607422, 1477.2727272727273), (1.9521458148956299, 1480.0), (2.1194608211517334, 1483.3333333333333), (2.287371873855591, 1487.5), (2.462946891784668, 1492.857142857143), (2.655404806137085, 1500.0), (2.8170478343963623, 1510.0), (3.1159238815307617, 1525.0), (3.319985866546631, 1550.0), (3.515146017074585, 1600.0), (3.71148681640625, 1900.0), (3.9034500122070312, 1900.0001)]
time available:[(0.9571030139923096, 1471.4285714285713), (1.2785680294036865, 1473.076923076923), (1.4817020893096924, 1475.0), (1.6703941822052002, 1477.2727272727273), (1.8604440689086914, 1480.0), (2.0617029666900635, 1483.3333333333333), (2.2384259700775146, 1487.5), (2.4495651721954346, 1492.857142857143), (2.6505250930786133, 1500.0), (2.8228161334991455, 1510.0), (3.081717014312744, 1525.0), (3.478985071182251, 1550.0), (3.6862239837646484, 1600.0), (3.867323160171509, 1900.0), (4.100973129272461, 1900.0001)]
time available:[(0.9630270004272461, 1471.4285714285713), (1.248155117034912, 1473.076923076923), (1.4406931400299072, 1475.0), (1.6138739585876465, 1477.2727272727273), (1.805394172668457, 1480.0), (2.0048630237579346, 1483.3333333333333), (2.197646141052246, 1487.5), (2.384235143661499, 1492.857142857143), (2.578148126602173, 1500.0), (2.779207944869995, 1510.0), (3.030895948410034, 1525.0), (3.429720163345337, 1550.0), (3.6128859519958496, 1600.0), (3.823251962661743, 1900.0), (4.032158136367798, 1900.0001)]
time available:[(0.9521739482879639, 1471.4285714285713), (1.1917710304260254, 1473.076923076923), (1.5849528312683105, 1475.0), (1.7671589851379395, 1477.2727272727273), (1.9385368824005127, 1480.0), (2.1725189685821533, 1483.3333333333333), (2.3521459102630615, 1487.5), (2.5478899478912354, 1492.857142857143), (2.752633810043335, 1500.0), (2.94480299949646, 1510.0), (3.243496894836426, 1525.0), (3.42372989654541, 1550.0), (3.6263649463653564, 1600.0), (3.8378570079803467, 1900.0), (4.047668933868408, 1900.0001)]
time available:[(0.9465880393981934, 1471.4285714285713), (1.194249153137207, 1473.076923076923), (1.6066501140594482, 1475.0), (1.8360600471496582, 1477.2727272727273), (2.0103189945220947, 1480.0), (2.189145088195801, 1483.3333333333333), (2.38032603263855, 1487.5), (2.5720760822296143, 1492.857142857143), (2.7437069416046143, 1500.0), (2.9476799964904785, 1510.0), (3.2511749267578125, 1525.0), (3.4391491413116455, 1550.0), (3.627143144607544, 1600.0), (3.828927993774414, 1900.0), (4.018784046173096, 1900.0001)]
time available:[(0.9560708999633789, 1471.4285714285713), (1.2904667854309082, 1473.076923076923), (1.462580919265747, 1475.0), (1.634572982788086, 1477.2727272727273), (1.8297138214111328, 1480.0), (2.0260238647460938, 1483.3333333333333), (2.1997499465942383, 1487.5), (2.398099899291992, 1492.857142857143), (2.5902328491210938, 1500.0), (2.7966818809509277, 1510.0), (3.0393009185791016, 1525.0), (3.3569159507751465, 1550.0), (3.55964994430542, 1600.0), (3.75799298286438, 1900.0), (3.990156888961792, 1900.0001)]
time available:[(0.9458580017089844, 1471.4285714285713), (1.1715729236602783, 1473.076923076923), (1.5849659442901611, 1475.0), (1.7702929973602295, 1477.2727272727273), (1.9513838291168213, 1480.0), (2.1165459156036377, 1483.3333333333333), (2.327260971069336, 1487.5), (2.512187957763672, 1492.857142857143), (2.7262678146362305, 1500.0), (2.9150168895721436, 1510.0), (3.1988630294799805, 1525.0), (3.390362024307251, 1550.0), (3.6033639907836914, 1600.0), (3.7872889041900635, 1900.0), (3.998652935028076, 1900.0001)]
