time available:[(0.5207250118255615, 1483.3333333333333), (0.6578719615936279, 1487.5), (0.7947099208831787, 1492.857142857143), (0.9233310222625732, 1500.0), (1.0793039798736572, 1510.0), (1.2259678840637207, 1525.0), (1.409527063369751, 1550.0), (1.6451759338378906, 1600.0), (1.8721649646759033, 1900.0), (2.2456769943237305, 1900.0001)]
time available:[(0.5314791202545166, 1483.3333333333333), (0.6805520057678223, 1487.5), (0.8202409744262695, 1492.857142857143), (0.9638891220092773, 1500.0), (1.1109340190887451, 1510.0), (1.2715470790863037, 1525.0), (1.4257409572601318, 1550.0), (1.6492390632629395, 1600.0), (1.8718039989471436, 1900.0), (2.221065044403076, 1900.0001)]
time available:[(0.5324368476867676, 1483.3333333333333), (0.6759898662567139, 1487.5), (0.8320620059967041, 1492.857142857143), (0.9740610122680664, 1500.0), (1.1415400505065918, 1510.0), (1.2801539897918701, 1525.0), (1.429837942123413, 1550.0), (1.6381828784942627, 1600.0), (1.8589229583740234, 1900.0), (2.2295398712158203, 1900.0001)]
time available:[(0.5176949501037598, 1483.3333333333333), (0.6402587890625, 1487.5), (0.7996318340301514, 1492.857142857143), (0.9677209854125977, 1500.0), (1.1155929565429688, 1510.0), (1.2650477886199951, 1525.0), (1.4078948497772217, 1550.0), (1.6166949272155762, 1600.0), (1.8120708465576172, 1900.0), (2.1781117916107178, 1900.0001)]
time available:[(0.527026891708374, 1483.3333333333333), (0.6871640682220459, 1487.5), (0.8505160808563232, 1492.857142857143), (0.9958200454711914, 1500.0), (1.1624209880828857, 1510.0), (1.3105640411376953, 1525.0), (1.4635310173034668, 1550.0), (1.679276943206787, 1600.0), (1.8880040645599365, 1900.0), (2.2599689960479736, 1900.0001)]
time available:[(0.517099142074585, 1483.3333333333333), (0.6560490131378174, 1487.5), (0.8030960559844971, 1492.857142857143), (0.9764971733093262, 1500.0), (1.1373682022094727, 1510.0), (1.307798147201538, 1525.0), (1.479004144668579, 1550.0), (1.6765069961547852, 1600.0), (1.8859400749206543, 1900.0), (2.252615213394165, 1900.0001)]
time available:[(0.5440719127655029, 1483.3333333333333), (0.6918859481811523, 1487.5), (0.8319838047027588, 1492.857142857143), (0.9677178859710693, 1500.0), (1.128835916519165, 1510.0), (1.307614803314209, 1525.0), (1.4873528480529785, 1550.0), (1.7110769748687744, 1600.0), (1.930264949798584, 1900.0), (2.2887678146362305, 1900.0001)]
time available:[(0.5334811210632324, 1483.3333333333333), (0.6747450828552246, 1487.5), (0.8345041275024414, 1492.857142857143), (0.9854540824890137, 1500.0), (1.1284592151641846, 1510.0), (1.2663371562957764, 1525.0), (1.432746171951294, 1550.0), (1.633146047592163, 1600.0), (1.8535821437835693, 1900.0), (2.21618914604187, 1900.0001)]
time available:[(0.5361800193786621, 1483.3333333333333), (0.6925020217895508, 1487.5), (0.848222017288208, 1492.857142857143), (1.014803171157837, 1500.0), (1.1949050426483154, 1510.0), (1.368675947189331, 1525.0), (1.5491280555725098, 1550.0), (1.78702712059021, 1600.0), (1.999643087387085, 1900.0), (2.348768949508667, 1900.0001)]
time available:[(0.5225489139556885, 1483.3333333333333), (0.6566829681396484, 1487.5), (0.8223638534545898, 1492.857142857143), (0.9869918823242188, 1500.0), (1.1530609130859375, 1510.0), (1.3092288970947266, 1525.0), (1.4413490295410156, 1550.0), (1.6579430103302002, 1600.0), (1.8836169242858887, 1900.0), (2.23372483253479, 1350.0), (2.375250816345215, 1350.0001)]
time available:[(0.5441029071807861, 1483.3333333333333), (0.6872308254241943, 1487.5), (0.8436949253082275, 1492.857142857143), (0.9951858520507812, 1500.0), (1.141974925994873, 1510.0), (1.2921369075775146, 1525.0), (1.4345757961273193, 1550.0), (1.6477439403533936, 1600.0), (1.8787569999694824, 1900.0), (2.2378828525543213, 1900.0001)]
time available:[(0.5259919166564941, 1483.3333333333333), (0.6777589321136475, 1487.5), (0.825714111328125, 1492.857142857143), (0.9671158790588379, 1500.0), (1.1137549877166748, 1510.0), (1.2761929035186768, 1525.0), (1.4324429035186768, 1550.0), (1.6665918827056885, 1600.0), (1.883687973022461, 1900.0), (2.256182909011841, 1900.0001)]
time available:[(0.5217361450195312, 1483.3333333333333), (0.6787230968475342, 1487.5), (0.8403801918029785, 1492.857142857143), (0.9864680767059326, 1500.0), (1.145745038986206, 1510.0), (1.29768705368042, 1525.0), (1.4715230464935303, 1550.0), (1.6912970542907715, 1600.0), (1.9019060134887695, 1900.0), (2.250944137573242, 1900.0001)]
time available:[(0.5326499938964844, 1483.3333333333333), (0.6699869632720947, 1487.5), (0.8286640644073486, 1492.857142857143), (0.9819700717926025, 1500.0), (1.135653018951416, 1510.0), (1.2772941589355469, 1525.0), (1.4505441188812256, 1550.0), (1.6889851093292236, 1600.0), (1.9075570106506348, 1900.0), (2.264820098876953, 1900.0001)]
time available:[(0.5325579643249512, 1483.3333333333333), (0.6735649108886719, 1487.5), (0.816648006439209, 1492.857142857143), (0.9962849617004395, 1500.0), (1.1604108810424805, 1510.0), (1.330070972442627, 1525.0), (1.485759973526001, 1550.0), (1.680318832397461, 1600.0), (1.900209903717041, 1900.0), (2.276672840118408, 1900.0001)]
time available:[(0.5416049957275391, 1483.3333333333333), (0.6871669292449951, 1487.5), (0.8492209911346436, 1492.857142857143), (1.010504961013794, 1500.0), (1.1769039630889893, 1510.0), (1.352484941482544, 1525.0), (1.5194518566131592, 1550.0), (1.7610788345336914, 1600.0), (1.969951868057251, 1900.0), (2.3560678958892822, 1900.0001)]
