time available:[(0.5027849674224854, 1487.5), (0.6451411247253418, 1492.857142857143), (0.7783610820770264, 1500.0), (0.9337601661682129, 1510.0), (1.0776340961456299, 1525.0), (1.2412910461425781, 1550.0), (1.401658058166504, 1600.0), (1.5573620796203613, 1900.0), (1.787696123123169, 1900.0001)]
time available:[(0.5012152194976807, 1487.5), (0.6464262008666992, 1492.857142857143), (0.7981970310211182, 1500.0), (0.9776871204376221, 1510.0), (1.1305391788482666, 1525.0), (1.279419183731079, 1550.0), (1.4271080493927002, 1600.0), (1.5830180644989014, 1900.0), (1.7938330173492432, 1900.0001)]
time available:[(0.4674389362335205, 1487.5), (0.6161770820617676, 1492.857142857143), (0.7700581550598145, 1500.0), (0.9304890632629395, 1510.0), (1.1135571002960205, 1525.0), (1.2847919464111328, 1550.0), (1.439432144165039, 1600.0), (1.612036943435669, 1900.0), (1.8394429683685303, 1900.0001)]
time available:[(0.4608750343322754, 1487.5), (0.6038429737091064, 1492.857142857143), (0.7789609432220459, 1500.0), (0.9257910251617432, 1510.0), (1.0804259777069092, 1525.0), (1.227376937866211, 1550.0), (1.3894381523132324, 1600.0), (1.548548936843872, 1900.0), (1.7770969867706299, 1900.0001)]
time available:[(0.48669886589050293, 1487.5), (0.6313149929046631, 1492.857142857143), (0.7705159187316895, 1500.0), (0.9280579090118408, 1510.0), (1.0736207962036133, 1525.0), (1.2339138984680176, 1550.0), (1.4062600135803223, 1600.0), (1.5456960201263428, 1900.0), (1.7822108268737793, 1900.0001)]
time available:[(0.46669697761535645, 1487.5), (0.6287860870361328, 1492.857142857143), (0.7815430164337158, 1500.0), (0.9284980297088623, 1510.0), (1.0822510719299316, 1525.0), (1.253594160079956, 1550.0), (1.4130809307098389, 1600.0), (1.568809986114502, 1900.0), (1.7872321605682373, 1900.0001)]
time available:[(0.4437448978424072, 1487.5), (0.5802919864654541, 1492.857142857143), (0.7232699394226074, 1500.0), (0.8646929264068604, 1510.0), (1.0169198513031006, 1525.0), (1.1757848262786865, 1550.0), (1.3149669170379639, 1600.0), (1.4702339172363281, 1900.0), (1.701530933380127, 1900.0001)]
time available:[(0.4739201068878174, 1487.5), (0.6405119895935059, 1492.857142857143), (0.784074068069458, 1500.0), (0.9191970825195312, 1510.0), (1.0638799667358398, 1525.0), (1.2087030410766602, 1550.0), (1.363178014755249, 1600.0), (1.5094850063323975, 1900.0), (1.7632269859313965, 1900.0001)]
time available:[(0.45965099334716797, 1487.5), (0.5953361988067627, 1492.857142857143), (0.7576491832733154, 1500.0), (0.8984529972076416, 1510.0), (1.0678231716156006, 1525.0), (1.2230100631713867, 1550.0), (1.394531011581421, 1600.0), (1.539330005645752, 1900.0), (1.7548770904541016, 1900.0001)]
time available:[(0.47087717056274414, 1487.5), (0.6042971611022949, 1492.857142857143), (0.74300217628479, 1500.0), (0.895806074142456, 1510.0), (1.053987979888916, 1525.0), (1.2324771881103516, 1550.0), (1.3950350284576416, 1600.0), (1.5480461120605469, 1900.0), (1.7642390727996826, 1900.0001)]
time available:[(0.44064998626708984, 1487.5), (0.5827479362487793, 1492.857142857143), (0.7184219360351562, 1500.0), (0.890700101852417, 1510.0), (1.0506200790405273, 1525.0), (1.2017459869384766, 1550.0), (1.3664579391479492, 1600.0), (1.4897809028625488, 1900.0), (1.7023260593414307, 1900.0001)]
time available:[(0.5030410289764404, 1487.5), (0.6414639949798584, 1492.857142857143), (0.7666699886322021, 1500.0), (0.9304070472717285, 1510.0), (1.0780000686645508, 1525.0), (1.2264890670776367, 1550.0), (1.3907430171966553, 1600.0), (1.5551061630249023, 1900.0), (1.7841689586639404, 1900.0001)]
time available:[(0.4873368740081787, 1487.5), (0.6239278316497803, 1492.857142857143), (0.7703568935394287, 1500.0), (0.9193019866943359, 1510.0), (1.0851528644561768, 1525.0), (1.240445852279663, 1550.0), (1.3875749111175537, 1600.0), (1.5627989768981934, 1900.0), (1.778831958770752, 1900.0001)]
time available:[(0.45157790184020996, 1487.5), (0.5948469638824463, 1492.857142857143), (0.7562508583068848, 1500.0), (0.9090609550476074, 1510.0), (1.0673718452453613, 1525.0), (1.2175829410552979, 1550.0), (1.3794147968292236, 1600.0), (1.5340209007263184, 1900.0), (1.7493548393249512, 1900.0001)]
time available:[(0.42151498794555664, 1487.5), (0.5583131313323975, 1492.857142857143), (0.7252061367034912, 1500.0), (0.895287036895752, 1510.0), (1.0521681308746338, 1525.0), (1.2271881103515625, 1550.0), (1.3663640022277832, 1600.0), (1.5187721252441406, 1900.0), (1.725600004196167, 1900.0001)]
time available:[(0.4452691078186035, 1487.5), (0.5804789066314697, 1492.857142857143), (0.7369179725646973, 1500.0), (0.8714408874511719, 1510.0), (1.0195269584655762, 1525.0), (1.2200589179992676, 1550.0), (1.4334421157836914, 1600.0), (1.592461109161377, 1600.0001)]
