time available:[(0.5871138572692871, 1480.0), (0.7424829006195068, 1483.3333333333333), (0.9207038879394531, 1487.5), (1.0606129169464111, 1492.857142857143), (1.2419939041137695, 1500.0), (1.484541893005371, 1510.0), (1.8712589740753174, 1525.0), (2.039911985397339, 1550.0), (2.224815845489502, 1600.0), (2.4228179454803467, 1900.0), (2.5914299488067627, 1900.0001)]
time available:[(0.6054370403289795, 1480.0), (0.7621450424194336, 1483.3333333333333), (0.9104681015014648, 1487.5), (1.057823896408081, 1492.857142857143), (1.2068350315093994, 1500.0), (1.4509611129760742, 1510.0), (1.8375270366668701, 1525.0), (2.0094289779663086, 1550.0), (2.2126169204711914, 1600.0), (2.4034390449523926, 1900.0), (2.57525897026062, 1900.0001)]
time available:[(0.6233899593353271, 1480.0), (0.7987000942230225, 1483.3333333333333), (0.9591100215911865, 1487.5), (1.126513957977295, 1492.857142857143), (1.278090000152588, 1500.0), (1.4897611141204834, 1510.0), (1.890861988067627, 1525.0), (2.0551669597625732, 1550.0), (2.228424072265625, 1600.0), (2.380679130554199, 1900.0), (2.554353952407837, 1900.0001)]
time available:[(0.5501019954681396, 1480.0), (0.6856310367584229, 1483.3333333333333), (0.857213020324707, 1487.5), (1.0339651107788086, 1492.857142857143), (1.20113205909729, 1500.0), (1.4013240337371826, 1510.0), (1.7865409851074219, 1525.0), (1.9564590454101562, 1550.0), (2.1140499114990234, 1600.0), (2.2832210063934326, 1900.0), (2.452522039413452, 1900.0001)]
time available:[(0.5960240364074707, 1480.0), (0.7796919345855713, 1483.3333333333333), (0.9393119812011719, 1487.5), (1.086272954940796, 1492.857142857143), (1.2414779663085938, 1500.0), (1.459784984588623, 1510.0), (1.8560879230499268, 1525.0), (2.0389668941497803, 1550.0), (2.2071518898010254, 1600.0), (2.3955159187316895, 1900.0), (2.5525970458984375, 1900.0001)]
time available:[(0.576850175857544, 1480.0), (0.7193892002105713, 1483.3333333333333), (0.8719019889831543, 1487.5), (1.0426599979400635, 1492.857142857143), (1.1877081394195557, 1500.0), (1.4249241352081299, 1510.0), (1.8176791667938232, 1525.0), (1.980921983718872, 1550.0), (2.139341115951538, 1600.0), (2.3092520236968994, 1900.0), (2.4741320610046387, 1900.0001)]
time available:[(0.6080899238586426, 1480.0), (0.7492330074310303, 1483.3333333333333), (0.9320428371429443, 1487.5), (1.0967159271240234, 1492.857142857143), (1.2566649913787842, 1500.0), (1.4867968559265137, 1510.0), (1.8658130168914795, 1525.0), (2.027068853378296, 1550.0), (2.2023580074310303, 1600.0), (2.376828908920288, 1900.0), (2.558434009552002, 1900.0001)]
time available:[(0.5995540618896484, 1480.0), (0.7733731269836426, 1483.3333333333333), (0.9615480899810791, 1487.5), (1.1177639961242676, 1492.857142857143), (1.271378993988037, 1500.0), (1.4922330379486084, 1510.0), (1.8960721492767334, 1525.0), (2.081531047821045, 1550.0), (2.255505084991455, 1600.0), (2.4182469844818115, 1900.0), (2.5889899730682373, 1900.0001)]
time available:[(0.6230189800262451, 1480.0), (0.7638609409332275, 1483.3333333333333), (0.905695915222168, 1487.5), (1.0579190254211426, 1492.857142857143), (1.2159059047698975, 1500.0), (1.4325649738311768, 1510.0), (1.8452110290527344, 1525.0), (2.0057740211486816, 1550.0), (2.179845094680786, 1600.0), (2.3542540073394775, 1900.0), (2.4974260330200195, 1900.0001)]
time available:[(0.6074180603027344, 1480.0), (0.7457311153411865, 1483.3333333333333), (0.9154529571533203, 1487.5), (1.0730161666870117, 1492.857142857143), (1.238213062286377, 1500.0), (1.470790147781372, 1510.0), (1.8520469665527344, 1525.0), (2.0285940170288086, 1550.0), (2.1836559772491455, 1600.0), (2.3692121505737305, 1900.0), (2.544384002685547, 1900.0001)]
time available:[(0.6085300445556641, 1480.0), (0.7623569965362549, 1483.3333333333333), (0.9448139667510986, 1487.5), (1.083193063735962, 1492.857142857143), (1.2520830631256104, 1500.0), (1.4757859706878662, 1510.0), (1.870311975479126, 1525.0), (2.0362279415130615, 1550.0), (2.206372022628784, 1600.0), (2.3719680309295654, 1900.0), (2.5300381183624268, 1900.0001)]
time available:[(0.5879430770874023, 1480.0), (0.7358231544494629, 1483.3333333333333), (0.8924131393432617, 1487.5), (1.050011157989502, 1492.857142857143), (1.2143499851226807, 1500.0), (1.450749158859253, 1510.0), (1.841543197631836, 1525.0), (2.012754201889038, 1550.0), (2.1822431087493896, 1600.0), (2.3534011840820312, 1900.0), (2.525351047515869, 1900.0001)]
time available:[(0.6150100231170654, 1480.0), (0.7621059417724609, 1483.3333333333333), (0.9299509525299072, 1487.5), (1.13789701461792, 1492.857142857143), (1.3018229007720947, 1500.0), (1.5282049179077148, 1510.0), (1.9578540325164795, 1525.0), (2.1390278339385986, 1550.0), (2.3044519424438477, 1600.0), (2.506974935531616, 1900.0), (2.68983793258667, 1900.0001)]
time available:[(0.574315071105957, 1480.0), (0.7301380634307861, 1483.3333333333333), (0.8966169357299805, 1487.5), (1.0885579586029053, 1492.857142857143), (1.2611470222473145, 1500.0), (1.49226713180542, 1510.0), (1.8955209255218506, 1525.0), (2.062514066696167, 1550.0), (2.225084066390991, 1600.0), (2.3887059688568115, 1600.0001)]
time available:[(0.5793249607086182, 1480.0), (0.7269449234008789, 1483.3333333333333), (0.8854889869689941, 1487.5), (1.0430328845977783, 1492.857142857143), (1.2106139659881592, 1500.0), (1.436783790588379, 1510.0), (1.8375709056854248, 1525.0), (1.9998447895050049, 1550.0), (2.17533278465271, 1600.0), (2.3329708576202393, 1900.0), (2.496584892272949, 1900.0001)]
