time available:[(0.6957569122314453, 1477.2727272727273), (0.8582289218902588, 1480.0), (1.0556409358978271, 1483.3333333333333), (1.2117478847503662, 1487.5), (1.4472379684448242, 1492.857142857143), (1.7402269840240479, 1500.0), (1.9075679779052734, 1510.0), (2.073603868484497, 1525.0), (2.2547428607940674, 1550.0), (2.4303078651428223, 1600.0), (2.624588966369629, 1900.0), (2.811652898788452, 1900.0001)]
time available:[(0.6878180503845215, 1477.2727272727273), (0.840130090713501, 1480.0), (0.9929630756378174, 1483.3333333333333), (1.1536610126495361, 1487.5), (1.3625409603118896, 1492.857142857143), (1.6592741012573242, 1500.0), (1.8287599086761475, 1510.0), (1.9730401039123535, 1525.0), (2.1560120582580566, 1550.0), (2.324173927307129, 1600.0), (2.5098960399627686, 1900.0), (2.6804370880126953, 1900.0001)]
time available:[(0.6783590316772461, 1477.2727272727273), (0.8106071949005127, 1480.0), (0.9696121215820312, 1483.3333333333333), (1.1237590312957764, 1487.5), (1.3422460556030273, 1492.857142857143), (1.618852138519287, 1500.0), (1.7878360748291016, 1510.0), (1.9793341159820557, 1525.0), (2.1433610916137695, 1550.0), (2.3166861534118652, 1600.0), (2.4837851524353027, 1900.0), (2.6502490043640137, 1900.0001)]
time available:[(0.6562719345092773, 1477.2727272727273), (0.808081865310669, 1480.0), (0.9798018932342529, 1483.3333333333333), (1.126452922821045, 1487.5), (1.3477869033813477, 1492.857142857143), (1.6270759105682373, 1500.0), (1.7990849018096924, 1510.0), (1.9768259525299072, 1525.0), (2.1457037925720215, 1550.0), (2.294891834259033, 1600.0), (2.4906258583068848, 1900.0), (2.6637468338012695, 1900.0001)]
time available:[(0.660851001739502, 1477.2727272727273), (0.7977538108825684, 1480.0), (0.9622030258178711, 1483.3333333333333), (1.1456618309020996, 1487.5), (1.3740348815917969, 1492.857142857143), (1.6974289417266846, 1500.0), (1.8593499660491943, 1510.0), (2.03676700592041, 1525.0), (2.22196102142334, 1550.0), (2.3843069076538086, 1600.0), (2.5883188247680664, 1900.0), (2.7573039531707764, 1900.0001)]
time available:[(0.6993958950042725, 1477.2727272727273), (0.8514719009399414, 1480.0), (1.0099809169769287, 1483.3333333333333), (1.1904370784759521, 1487.5), (1.4073600769042969, 1492.857142857143), (1.6781020164489746, 1500.0), (1.8402080535888672, 1510.0), (2.023474931716919, 1525.0), (2.218087911605835, 1550.0), (2.3660049438476562, 1600.0), (2.538914918899536, 1900.0), (2.7114710807800293, 1900.0001)]
time available:[(0.6354799270629883, 1477.2727272727273), (0.7902040481567383, 1480.0), (0.9617869853973389, 1483.3333333333333), (1.1363179683685303, 1487.5), (1.362596035003662, 1492.857142857143), (1.6771039962768555, 1500.0), (1.864642858505249, 1510.0), (2.052851915359497, 1525.0), (2.2274420261383057, 1550.0), (2.3934810161590576, 1600.0), (2.5544960498809814, 1900.0), (2.7477200031280518, 1900.0001)]
time available:[(0.695080041885376, 1477.2727272727273), (0.8419449329376221, 1480.0), (1.0142440795898438, 1483.3333333333333), (1.1766140460968018, 1487.5), (1.404844045639038, 1492.857142857143), (1.6746010780334473, 1500.0), (1.8535540103912354, 1510.0), (2.0073940753936768, 1525.0), (2.2002580165863037, 1550.0), (2.3829879760742188, 1600.0), (2.56577205657959, 1900.0), (2.7539639472961426, 1900.0001)]
time available:[(0.6998639106750488, 1477.2727272727273), (0.8510158061981201, 1480.0), (1.0022859573364258, 1483.3333333333333), (1.1685869693756104, 1487.5), (1.3846218585968018, 1492.857142857143), (1.6602048873901367, 1500.0), (1.818889856338501, 1510.0), (1.9670979976654053, 1525.0), (2.1282958984375, 1550.0), (2.2966909408569336, 1600.0), (2.493165969848633, 1900.0), (2.669329881668091, 1900.0001)]
time available:[(0.6894571781158447, 1477.2727272727273), (0.8405921459197998, 1480.0), (1.0482211112976074, 1483.3333333333333), (1.2035620212554932, 1487.5), (1.4321050643920898, 1492.857142857143), (1.70072603225708, 1500.0), (1.878566026687622, 1510.0), (2.0712661743164062, 1525.0), (2.272841215133667, 1550.0), (2.4622440338134766, 1600.0), (2.631596088409424, 1900.0), (2.796231985092163, 1900.0001)]
time available:[(0.6783390045166016, 1477.2727272727273), (0.8281068801879883, 1480.0), (0.9940240383148193, 1483.3333333333333), (1.1571710109710693, 1487.5), (1.3980700969696045, 1492.857142857143), (1.686229944229126, 1500.0), (1.8749799728393555, 1510.0), (2.0202319622039795, 1525.0), (2.178277015686035, 1550.0), (2.367975950241089, 1600.0), (2.5281989574432373, 1900.0), (2.7218759059906006, 1900.0001)]
time available:[(0.6909000873565674, 1477.2727272727273), (0.8280329704284668, 1480.0), (0.9914741516113281, 1483.3333333333333), (1.173201084136963, 1487.5), (1.403825044631958, 1492.857142857143), (1.688542127609253, 1500.0), (1.8753550052642822, 1510.0), (2.0476059913635254, 1525.0), (2.208238124847412, 1550.0), (2.383608102798462, 1600.0), (2.5633130073547363, 1900.0), (2.7563090324401855, 1900.0001)]
time available:[(0.6894099712371826, 1477.2727272727273), (0.8395748138427734, 1480.0), (0.995567798614502, 1483.3333333333333), (1.1759188175201416, 1487.5), (1.38753080368042, 1492.857142857143), (1.677851915359497, 1500.0), (1.8365049362182617, 1510.0), (2.0016798973083496, 1525.0), (2.1846067905426025, 1550.0), (2.365895986557007, 1600.0), (2.5567657947540283, 1900.0), (2.7355449199676514, 1900.0001)]
