time available:[(0.409343957901001, 1492.857142857143), (0.550800085067749, 1500.0), (0.6922800540924072, 1510.0), (0.8307111263275146, 1525.0), (0.9755980968475342, 1550.0), (1.115462064743042, 1600.0), (1.2803971767425537, 1900.0), (1.4235119819641113, 1900.0001)]
time available:[(0.3936018943786621, 1492.857142857143), (0.5177648067474365, 1500.0), (0.6752269268035889, 1510.0), (0.841749906539917, 1525.0), (0.9796488285064697, 1550.0), (1.1188478469848633, 1600.0), (1.2573719024658203, 1900.0), (1.4198799133300781, 1900.0001)]
time available:[(0.43775200843811035, 1492.857142857143), (0.58473801612854, 1500.0), (0.7179369926452637, 1510.0), (0.852104902267456, 1525.0), (1.0114388465881348, 1550.0), (1.1545040607452393, 1600.0), (1.3056118488311768, 1900.0), (1.4572498798370361, 1900.0001)]
time available:[(0.43317294120788574, 1492.857142857143), (0.5547659397125244, 1500.0), (0.7064540386199951, 1510.0), (0.852431058883667, 1525.0), (0.999068021774292, 1550.0), (1.146204948425293, 1600.0), (1.3063080310821533, 1900.0), (1.4556670188903809, 1900.0001)]
time available:[(0.4231910705566406, 1492.857142857143), (0.559859037399292, 1500.0), (0.7022969722747803, 1510.0), (0.8528990745544434, 1525.0), (1.005763053894043, 1550.0), (1.1716558933258057, 1600.0), (1.335075855255127, 1900.0), (1.494318962097168, 1900.0001)]
time available:[(0.3826751708984375, 1492.857142857143), (0.5214769840240479, 1500.0), (0.6725950241088867, 1510.0), (0.8063170909881592, 1525.0), (0.9568030834197998, 1550.0), (1.1003899574279785, 1600.0), (1.2325210571289062, 1900.0), (1.388923168182373, 1900.0001)]
time available:[(0.4138200283050537, 1492.857142857143), (0.5520379543304443, 1500.0), (0.7131538391113281, 1510.0), (0.8479759693145752, 1525.0), (0.991508960723877, 1550.0), (1.1318669319152832, 1600.0), (1.280890941619873, 1900.0), (1.4307949542999268, 1900.0001)]
time available:[(0.4026920795440674, 1492.857142857143), (0.5275721549987793, 1500.0), (0.6697289943695068, 1510.0), (0.8037950992584229, 1525.0), (0.9753870964050293, 1550.0), (1.1412830352783203, 1600.0), (1.2813739776611328, 1900.0), (1.4646530151367188, 1900.0001)]
time available:[(0.42531299591064453, 1492.857142857143), (0.5689141750335693, 1500.0), (0.7261741161346436, 1510.0), (0.8759350776672363, 1525.0), (1.0311880111694336, 1550.0), (1.1921319961547852, 1600.0), (1.3389110565185547, 1900.0), (1.4991271495819092, 1900.0001)]
time available:[(0.4050629138946533, 1492.857142857143), (0.5443799495697021, 1500.0), (0.6943998336791992, 1510.0), (0.846729040145874, 1525.0), (0.9974889755249023, 1550.0), (1.1612839698791504, 1600.0), (1.3177039623260498, 1900.0), (1.4600520133972168, 1900.0001)]
time available:[(0.4079399108886719, 1492.857142857143), (0.5596621036529541, 1500.0), (0.7070488929748535, 1510.0), (0.8459799289703369, 1525.0), (1.0146169662475586, 1550.0), (1.1620640754699707, 1600.0), (1.319025993347168, 1900.0), (1.4816420078277588, 1900.0001)]
time available:[(0.41967105865478516, 1492.857142857143), (0.5582330226898193, 1500.0), (0.7139079570770264, 1510.0), (0.8754968643188477, 1525.0), (1.028609037399292, 1550.0), (1.1672890186309814, 1600.0), (1.3323118686676025, 1900.0), (1.482024908065796, 1900.0001)]
time available:[(0.3797588348388672, 1492.857142857143), (0.5221128463745117, 1500.0), (0.6577088832855225, 1510.0), (0.8171379566192627, 1525.0), (0.9742159843444824, 1550.0), (1.128978967666626, 1600.0), (1.2835638523101807, 1900.0), (1.4485127925872803, 1900.0001)]
time available:[(0.4336540699005127, 1492.857142857143), (0.5726771354675293, 1500.0), (0.737023115158081, 1510.0), (0.8651800155639648, 1525.0), (1.0388150215148926, 1550.0), (1.1868700981140137, 1600.0), (1.3465850353240967, 1900.0), (1.4853789806365967, 1900.0001)]
time available:[(0.4071159362792969, 1492.857142857143), (0.536262035369873, 1500.0), (0.6764469146728516, 1510.0), (0.8239059448242188, 1525.0), (0.9698760509490967, 1550.0), (1.1282780170440674, 1600.0), (1.2897319793701172, 1900.0), (1.4445359706878662, 1900.0001)]
time available:[(0.39388012886047363, 1492.857142857143), (0.5241780281066895, 1500.0), (0.6528761386871338, 1510.0), (0.8098390102386475, 1525.0), (0.9800670146942139, 1550.0), (1.1385459899902344, 1600.0), (1.2923810482025146, 1900.0), (1.428227186203003, 1900.0001)]
