time available:[(0.282210111618042, 1550.0), (0.40230607986450195, 1600.0), (0.5324320793151855, 1900.0), (0.6773600578308105, 1900.0001)]
time available:[(0.2736799716949463, 1550.0), (0.41342902183532715, 1600.0), (0.5354199409484863, 1600.0001)]
time available:[(0.25739383697509766, 1550.0), (0.377255916595459, 1600.0), (0.5348098278045654, 1900.0), (0.6721189022064209, 1900.0001)]
time available:[(0.26363086700439453, 1550.0), (0.3813209533691406, 1600.0), (0.5026419162750244, 1900.0), (0.6232779026031494, 1900.0001)]
time available:[(0.26252102851867676, 1550.0), (0.38425302505493164, 1600.0), (0.504331111907959, 1900.0), (0.6388840675354004, 1900.0001)]
time available:[(0.25382184982299805, 1550.0), (0.3838229179382324, 1600.0), (0.530958890914917, 1900.0), (0.6485178470611572, 1900.0001)]
time available:[(0.26094508171081543, 1550.0), (0.38031721115112305, 1600.0), (0.5080380439758301, 1900.0), (0.652130126953125, 1900.0001)]
time available:[(0.25780296325683594, 1550.0), (0.38964390754699707, 1600.0), (0.5366840362548828, 1900.0), (0.6658730506896973, 1900.0001)]
time available:[(0.3065211772918701, 1550.0), (0.43201112747192383, 1600.0), (0.5802412033081055, 1900.0), (0.741008996963501, 1900.0001)]
time available:[(0.2584400177001953, 1550.0), (0.38117098808288574, 1600.0), (0.5455789566040039, 1900.0), (0.6827709674835205, 1900.0001)]
time available:[(0.2716028690338135, 1550.0), (0.4070460796356201, 1600.0), (0.5448019504547119, 1900.0), (0.6879820823669434, 1900.0001)]
time available:[(0.24602103233337402, 1550.0), (0.39217090606689453, 1600.0), (0.5370790958404541, 1900.0), (0.678015947341919, 1900.0001)]
time available:[(0.26900386810302734, 1550.0), (0.38263702392578125, 1600.0), (0.525568962097168, 1900.0), (0.6629300117492676, 1900.0001)]
time available:[(0.24072790145874023, 1550.0), (0.3750488758087158, 1600.0), (0.5354359149932861, 1900.0), (0.6765129566192627, 1900.0001)]
time available:[(0.29380297660827637, 1550.0), (0.45124077796936035, 1600.0), (0.579758882522583, 1900.0), (0.7254958152770996, 1900.0001)]
time available:[(0.2586479187011719, 1550.0), (0.3880939483642578, 1600.0), (0.5265200138092041, 1900.0), (0.6912779808044434, 1900.0001)]
