time available:[(0.8751521110534668, 1473.076923076923), (1.0688199996948242, 1475.0), (1.2866699695587158, 1477.2727272727273), (1.6608240604400635, 1480.0), (1.826357126235962, 1483.3333333333333), (2.0014050006866455, 1487.5), (2.1651320457458496, 1492.857142857143), (2.345482110977173, 1500.0), (2.5343220233917236, 1510.0), (2.7227840423583984, 1525.0), (2.909778118133545, 1550.0), (3.065139055252075, 1600.0), (3.2328031063079834, 1900.0), (3.4934799671173096, 1900.0001)]
time available:[(0.8310410976409912, 1473.076923076923), (0.9943621158599854, 1475.0), (1.2216250896453857, 1477.2727272727273), (1.5822210311889648, 1480.0), (1.760864019393921, 1483.3333333333333), (1.9382359981536865, 1487.5), (2.100332021713257, 1492.857142857143), (2.2723450660705566, 1500.0), (2.472252130508423, 1510.0), (2.658151149749756, 1525.0), (2.856292963027954, 1550.0), (3.0640599727630615, 1600.0), (3.2460989952087402, 1900.0), (3.4807040691375732, 1900.0001)]
time available:[(0.82440185546875, 1473.076923076923), (0.9776008129119873, 1475.0), (1.2156288623809814, 1477.2727272727273), (1.6051058769226074, 1480.0), (1.791611909866333, 1483.3333333333333), (1.9480319023132324, 1487.5), (2.1464788913726807, 1492.857142857143), (2.318842887878418, 1500.0), (2.5048727989196777, 1510.0), (2.6988208293914795, 1525.0), (2.8907089233398438, 1550.0), (3.0843169689178467, 1600.0), (3.286716938018799, 1900.0), (3.5196189880371094, 1900.0001)]
time available:[(0.8305809497833252, 1473.076923076923), (1.0106310844421387, 1475.0), (1.2325799465179443, 1477.2727272727273), (1.644942045211792, 1480.0), (1.8438761234283447, 1483.3333333333333), (2.017595052719116, 1487.5), (2.2270960807800293, 1492.857142857143), (2.3911819458007812, 1500.0), (2.546992063522339, 1510.0), (2.753735065460205, 1525.0), (2.9344959259033203, 1550.0), (3.1500091552734375, 1600.0), (3.3602681159973145, 1900.0), (3.5957019329071045, 1900.0001)]
time available:[(0.8219609260559082, 1473.076923076923), (0.9852919578552246, 1475.0), (1.2130908966064453, 1477.2727272727273), (1.5960798263549805, 1480.0), (1.7576138973236084, 1483.3333333333333), (1.9301350116729736, 1487.5), (2.123095989227295, 1492.857142857143), (2.3198540210723877, 1500.0), (2.526378870010376, 1510.0), (2.6950948238372803, 1525.0), (2.886340856552124, 1550.0), (3.0676629543304443, 1600.0), (3.2797279357910156, 1900.0), (3.5247058868408203, 1900.0001)]
time available:[(0.8426589965820312, 1473.076923076923), (1.009498119354248, 1475.0), (1.274994134902954, 1477.2727272727273), (1.6578891277313232, 1480.0), (1.8337340354919434, 1483.3333333333333), (2.003319025039673, 1487.5), (2.2055370807647705, 1492.857142857143), (2.370176076889038, 1500.0), (2.5529820919036865, 1510.0), (2.7546141147613525, 1525.0), (2.9439921379089355, 1550.0), (3.1166059970855713, 1600.0), (3.321627140045166, 1900.0), (3.5658841133117676, 1900.0001)]
time available:[(0.8689258098602295, 1473.076923076923), (1.0230278968811035, 1475.0), (1.2455949783325195, 1477.2727272727273), (1.5994679927825928, 1480.0), (1.7781178951263428, 1483.3333333333333), (1.956648826599121, 1487.5), (2.1195738315582275, 1492.857142857143), (2.302708864212036, 1500.0), (2.498836040496826, 1510.0), (2.6933720111846924, 1525.0), (2.905690908432007, 1550.0), (3.0915558338165283, 1600.0), (3.2506349086761475, 1900.0), (3.5124568939208984, 1900.0001)]
time available:[(0.8527591228485107, 1473.076923076923), (1.0154540538787842, 1475.0), (1.2694289684295654, 1477.2727272727273), (1.6244800090789795, 1480.0), (1.806929111480713, 1483.3333333333333), (1.9845290184020996, 1487.5), (2.1623709201812744, 1492.857142857143), (2.3420441150665283, 1500.0), (2.521578073501587, 1510.0), (2.6797080039978027, 1525.0), (2.865968942642212, 1550.0), (3.048349142074585, 1600.0), (3.255017042160034, 1900.0), (3.5056569576263428, 1900.0001)]
time available:[(0.8606350421905518, 1473.076923076923), (1.0316760540008545, 1475.0), (1.2659430503845215, 1477.2727272727273), (1.640294075012207, 1480.0), (1.8355491161346436, 1483.3333333333333), (2.013296127319336, 1487.5), (2.1836941242218018, 1492.857142857143), (2.348283052444458, 1500.0), (2.5398781299591064, 1510.0), (2.7156121730804443, 1525.0), (2.897233009338379, 1550.0), (3.0716590881347656, 1600.0), (3.254845142364502, 1900.0), (3.502713203430176, 1900.0001)]
time available:[(0.8604819774627686, 1473.076923076923), (1.0366201400756836, 1475.0), (1.2928681373596191, 1477.2727272727273), (1.6628351211547852, 1480.0), (1.8311121463775635, 1483.3333333333333), (2.0190629959106445, 1487.5), (2.226262092590332, 1492.857142857143), (2.4024481773376465, 1500.0), (2.61098313331604, 1510.0), (2.829061985015869, 1525.0), (3.006756067276001, 1550.0), (3.2013211250305176, 1600.0), (3.3889000415802, 1900.0), (3.6443710327148438, 1900.0001)]
time available:[(0.8182430267333984, 1473.076923076923), (0.9908349514007568, 1475.0), (1.2363030910491943, 1477.2727272727273), (1.6172289848327637, 1480.0), (1.7855761051177979, 1483.3333333333333), (1.9543020725250244, 1487.5), (2.1394829750061035, 1492.857142857143), (2.304198980331421, 1500.0), (2.483098030090332, 1510.0), (2.66497802734375, 1525.0), (2.8613479137420654, 1550.0), (3.041667938232422, 1600.0), (3.2162508964538574, 1900.0), (3.459230899810791, 1900.0001)]
