time available:[(0.3927280902862549, 1500.0), (0.5432960987091064, 1510.0), (0.6993129253387451, 1525.0), (0.8306870460510254, 1550.0), (0.9788689613342285, 1600.0), (1.1158180236816406, 1900.0), (1.2758970260620117, 1900.0001)]
time available:[(0.37174296379089355, 1500.0), (0.49478602409362793, 1510.0), (0.6545970439910889, 1525.0), (0.786168098449707, 1550.0), (0.9241130352020264, 1600.0), (1.069277048110962, 1900.0), (1.2240490913391113, 1900.0001)]
time available:[(0.3888580799102783, 1500.0), (0.5191679000854492, 1510.0), (0.6516609191894531, 1525.0), (0.7746291160583496, 1550.0), (0.9151320457458496, 1600.0), (1.0770978927612305, 1900.0), (1.2334630489349365, 1900.0001)]
time available:[(0.36324405670166016, 1500.0), (0.497622013092041, 1510.0), (0.6305539608001709, 1525.0), (0.7620949745178223, 1550.0), (0.9018599987030029, 1600.0), (1.053678035736084, 1900.0), (1.2094731330871582, 1900.0001)]
time available:[(0.3419790267944336, 1500.0), (0.4859640598297119, 1510.0), (0.6469700336456299, 1525.0), (0.7788131237030029, 1550.0), (0.9133961200714111, 1600.0), (1.0752079486846924, 1900.0), (1.2226109504699707, 1900.0001)]
time available:[(0.3817870616912842, 1500.0), (0.5156970024108887, 1510.0), (0.6370530128479004, 1525.0), (0.795720100402832, 1550.0), (0.9244101047515869, 1600.0), (1.0718460083007812, 1900.0), (1.2178080081939697, 1900.0001)]
time available:[(0.3925609588623047, 1500.0), (0.5105180740356445, 1510.0), (0.6508870124816895, 1525.0), (0.7927830219268799, 1550.0), (0.9412720203399658, 1600.0), (1.0908799171447754, 1900.0), (1.2444260120391846, 1900.0001)]
time available:[(0.38227105140686035, 1500.0), (0.5240130424499512, 1510.0), (0.6546249389648438, 1525.0), (0.7841761112213135, 1550.0), (0.9333350658416748, 1600.0), (1.0974011421203613, 1900.0), (1.2704811096191406, 1900.0001)]
time available:[(0.35448384284973145, 1500.0), (0.4767639636993408, 1510.0), (0.6305367946624756, 1525.0), (0.7793009281158447, 1550.0), (0.9281418323516846, 1600.0), (1.1161918640136719, 1900.0), (1.2600209712982178, 1900.0001)]
time available:[(0.3687000274658203, 1500.0), (0.5029850006103516, 1510.0), (0.6455631256103516, 1525.0), (0.7909090518951416, 1550.0), (0.9345431327819824, 1600.0), (1.095993995666504, 1900.0), (1.2599601745605469, 1900.0001)]
time available:[(0.36875486373901367, 1500.0), (0.5072078704833984, 1510.0), (0.6689019203186035, 1525.0), (0.8067629337310791, 1550.0), (0.948706865310669, 1600.0), (1.0740718841552734, 1900.0), (1.2198917865753174, 1900.0001)]
time available:[(0.3586277961730957, 1500.0), (0.4940299987792969, 1510.0), (0.6365058422088623, 1525.0), (0.7837698459625244, 1550.0), (0.9610488414764404, 1600.0), (1.101921796798706, 1900.0), (1.2351977825164795, 1350.0), (1.3809309005737305, 1350.0001)]
time available:[(0.3923189640045166, 1500.0), (0.5300841331481934, 1510.0), (0.6693630218505859, 1525.0), (0.8122351169586182, 1550.0), (0.9859349727630615, 1600.0), (1.1608850955963135, 1900.0), (1.3081979751586914, 1900.0001)]
time available:[(0.3945491313934326, 1500.0), (0.5577499866485596, 1510.0), (0.7120981216430664, 1525.0), (0.8846781253814697, 1550.0), (1.0382001399993896, 1600.0), (1.1910691261291504, 1900.0), (1.3378989696502686, 1900.0001)]
time available:[(0.36541199684143066, 1500.0), (0.5124340057373047, 1510.0), (0.6564340591430664, 1525.0), (0.7963440418243408, 1550.0), (0.9334781169891357, 1600.0), (1.0721371173858643, 1900.0), (1.2083399295806885, 1900.0001)]
time available:[(0.3583691120147705, 1500.0), (0.4911470413208008, 1510.0), (0.6274230480194092, 1525.0), (0.787351131439209, 1550.0), (0.929157018661499, 1600.0), (1.065580129623413, 1900.0), (1.2098300457000732, 1900.0001)]
