time available:[(0.797152042388916, 1475.0), (0.947080135345459, 1477.2727272727273), (1.1059870719909668, 1480.0), (1.3166429996490479, 1483.3333333333333), (1.7054259777069092, 1487.5), (1.8905150890350342, 1492.857142857143), (2.056223154067993, 1500.0), (2.2426180839538574, 1510.0), (2.4281270503997803, 1525.0), (2.626660108566284, 1550.0), (2.8190910816192627, 1600.0), (2.991706132888794, 1900.0), (3.1915171146392822, 1900.0001)]
time available:[(0.7626891136169434, 1475.0), (0.9297440052032471, 1477.2727272727273), (1.077782154083252, 1480.0), (1.3048591613769531, 1483.3333333333333), (1.6872539520263672, 1487.5), (1.8721060752868652, 1492.857142857143), (2.035731077194214, 1500.0), (2.215909957885742, 1510.0), (2.3884949684143066, 1525.0), (2.5890021324157715, 1550.0), (2.7695441246032715, 1600.0), (2.974699020385742, 1900.0), (3.1664130687713623, 1900.0001)]
time available:[(0.770500898361206, 1475.0), (0.9461278915405273, 1477.2727272727273), (1.114487886428833, 1480.0), (1.3347818851470947, 1483.3333333333333), (1.7394309043884277, 1487.5), (1.9207308292388916, 1492.857142857143), (2.0983967781066895, 1500.0), (2.2791788578033447, 1510.0), (2.461629867553711, 1525.0), (2.641366958618164, 1550.0), (2.8198659420013428, 1600.0), (2.99737286567688, 1900.0), (3.185811996459961, 1900.0001)]
time available:[(0.7807929515838623, 1475.0), (0.9291191101074219, 1477.2727272727273), (1.1104719638824463, 1480.0), (1.3388619422912598, 1483.3333333333333), (1.786224126815796, 1487.5), (1.9656541347503662, 1492.857142857143), (2.1562769412994385, 1500.0), (2.378859043121338, 1510.0), (2.5616400241851807, 1525.0), (2.731539011001587, 1550.0), (2.935096025466919, 1600.0), (3.1363401412963867, 1600.0001)]
time available:[(0.7651491165161133, 1475.0), (0.9410440921783447, 1477.2727272727273), (1.1042490005493164, 1480.0), (1.3341481685638428, 1483.3333333333333), (1.719520092010498, 1487.5), (1.8933801651000977, 1492.857142857143), (2.0946810245513916, 1500.0), (2.276698112487793, 1510.0), (2.4464709758758545, 1525.0), (2.604997158050537, 1550.0), (2.784926176071167, 1600.0), (2.971381187438965, 1900.0), (3.154848098754883, 1900.0001)]
time available:[(0.7613208293914795, 1475.0), (0.9343469142913818, 1477.2727272727273), (1.0797998905181885, 1480.0), (1.3083019256591797, 1483.3333333333333), (1.715134859085083, 1487.5), (1.907045841217041, 1492.857142857143), (2.0725278854370117, 1500.0), (2.256808042526245, 1510.0), (2.4354920387268066, 1525.0), (2.600353956222534, 1550.0), (2.770059823989868, 1600.0), (2.9678428173065186, 1350.0), (3.1467719078063965, 1350.0001)]
time available:[(0.7597842216491699, 1475.0), (0.9140801429748535, 1477.2727272727273), (1.098978042602539, 1480.0), (1.325646162033081, 1483.3333333333333), (1.7020351886749268, 1487.5), (1.8715920448303223, 1492.857142857143), (2.061720132827759, 1500.0), (2.237013101577759, 1510.0), (2.4227781295776367, 1525.0), (2.609682083129883, 1550.0), (2.7951431274414062, 1600.0), (3.001336097717285, 1900.0), (3.1889801025390625, 1900.0001)]
time available:[(0.7930898666381836, 1475.0), (0.9684300422668457, 1477.2727272727273), (1.1248698234558105, 1480.0), (1.37801194190979, 1483.3333333333333), (1.7828218936920166, 1487.5), (1.9580118656158447, 1492.857142857143), (2.1417338848114014, 1500.0), (2.3296239376068115, 1510.0), (2.5277259349823, 1525.0), (2.7186520099639893, 1550.0), (2.921315908432007, 1600.0), (3.1111059188842773, 1900.0), (3.294095039367676, 1900.0001)]
time available:[(0.7634031772613525, 1475.0), (0.9226171970367432, 1477.2727272727273), (1.1078531742095947, 1480.0), (1.3374061584472656, 1483.3333333333333), (1.7396152019500732, 1487.5), (1.9082820415496826, 1492.857142857143), (2.084057092666626, 1500.0), (2.273210048675537, 1510.0), (2.4442930221557617, 1525.0), (2.6443350315093994, 1550.0), (2.8496360778808594, 1600.0), (3.0232770442962646, 1900.0), (3.242964029312134, 1900.0001)]
time available:[(0.7607951164245605, 1475.0), (0.9258451461791992, 1477.2727272727273), (1.1045989990234375, 1480.0), (1.3376290798187256, 1483.3333333333333), (1.7388150691986084, 1487.5), (1.9278931617736816, 1492.857142857143), (2.1106321811676025, 1500.0), (2.2948060035705566, 1510.0), (2.473482131958008, 1525.0), (2.6599361896514893, 1550.0), (2.8410801887512207, 1600.0), (3.0282211303710938, 1900.0), (3.2251501083374023, 1900.0001)]
time available:[(0.7665369510650635, 1475.0), (0.936100959777832, 1477.2727272727273), (1.1587681770324707, 1480.0), (1.3881139755249023, 1483.3333333333333), (1.7870750427246094, 1487.5), (1.965451955795288, 1492.857142857143), (2.136486053466797, 1500.0), (2.3090081214904785, 1510.0), (2.505524158477783, 1525.0), (2.6899290084838867, 1550.0), (2.8602960109710693, 1600.0), (3.053128957748413, 1900.0), (3.2478880882263184, 1900.0001)]
time available:[(0.761361837387085, 1475.0), (0.9204399585723877, 1477.2727272727273), (1.0712828636169434, 1480.0), (1.297839879989624, 1483.3333333333333), (1.6945269107818604, 1487.5), (1.8754019737243652, 1492.857142857143), (2.028428792953491, 1500.0), (2.2128357887268066, 1510.0), (2.391993999481201, 1525.0), (2.555245876312256, 1550.0), (2.7474608421325684, 1600.0), (2.9265339374542236, 1900.0), (3.1150898933410645, 1900.0001)]
