#conj	one thing				two things					three things			CRISP-1				CRISP-2
1		0.31000000000494765		0.5799999999944703			1.069999999999709		0.0					0.0
2		0.9199999999982538		1.9400000000023283			17.50999999999476		0.1					5.0
3		3.069999999999709		4.450000000004366			48.900000000001455		0.3					7.0
4		3.349999999998545		8.0							58.87000000000262		1.0					64.0
5		5.5						13.559999999997672			64.51000000000204		2.0					160.0
